UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
1521.0,298.3,309.1,1472.0,40.1,31.0,0.0
1522.0,298.2,308.9,1585.0,34.3,33.0,0.0
1523.0,298.2,309.0,1562.0,37.7,36.0,0.0
1524.0,298.3,309.0,1519.0,36.9,41.0,0.0
1525.0,298.2,309.0,1601.0,35.8,43.0,0.0
1526.0,298.2,309.0,2449.0,13.8,45.0,0.0
1527.0,298.1,309.0,1787.0,27.6,47.0,0.0
1528.0,298.1,309.1,1425.0,44.5,49.0,0.0
1529.0,298.1,309.0,1559.0,34.0,54.0,0.0
1530.0,298.1,309.0,1557.0,36.0,56.0,0.0
1531.0,298.1,309.0,1497.0,40.5,58.0,0.0
1532.0,298.1,309.0,1438.0,41.4,60.0,0.0
1533.0,298.1,308.9,1417.0,39.2,65.0,0.0
1534.0,298.0,308.9,1339.0,51.4,68.0,0.0
1535.0,298.0,308.8,1757.0,29.1,71.0,0.0
1536.0,298.0,308.8,1581.0,36.1,73.0,0.0
1537.0,298.2,308.9,1326.0,54.4,75.0,0.0
1538.0,298.4,309.1,1467.0,39.6,78.0,0.0
1539.0,298.4,309.1,1798.0,29.6,81.0,0.0
1540.0,298.5,309.2,1449.0,46.4,83.0,0.0
1541.0,298.4,309.1,1525.0,39.3,86.0,0.0
1542.0,298.4,309.0,2304.0,15.1,89.0,0.0
1543.0,298.3,308.9,1379.0,54.7,91.0,0.0
1544.0,298.4,308.9,1628.0,34.9,93.0,0.0
1545.0,298.4,309.0,1474.0,52.7,95.0,0.0
1546.0,298.4,309.0,1544.0,38.8,97.0,0.0
1547.0,298.4,308.9,1391.0,48.4,100.0,0.0
1548.0,298.3,308.9,1348.0,55.5,102.0,0.0
1549.0,298.3,308.8,1349.0,52.1,104.0,0.0
1550.0,298.4,308.9,1706.0,29.5,107.0,0.0
1551.0,298.4,308.9,1638.0,32.4,109.0,0.0
1552.0,298.4,308.8,1458.0,40.1,111.0,0.0
1553.0,298.5,308.9,1781.0,27.8,113.0,0.0
1554.0,298.5,308.8,1332.0,59.1,115.0,0.0
1555.0,298.4,308.7,1584.0,31.7,117.0,0.0
1556.0,298.4,308.6,1491.0,42.0,120.0,0.0
1557.0,298.4,308.5,1398.0,47.1,122.0,0.0
1558.0,298.3,308.4,1585.0,30.6,127.0,0.0
1559.0,298.2,308.3,1476.0,43.5,129.0,0.0
1560.0,298.2,308.3,1458.0,41.8,132.0,0.0
1561.0,298.2,308.4,1510.0,39.9,134.0,0.0
1562.0,298.2,308.4,1388.0,53.8,137.0,0.0
1563.0,298.2,308.3,2216.0,16.8,139.0,0.0
1564.0,298.2,308.3,1402.0,51.0,141.0,0.0
1565.0,298.0,308.2,2090.0,19.0,143.0,0.0
1566.0,298.0,308.2,1459.0,42.1,146.0,0.0
1567.0,298.0,308.1,1403.0,44.8,148.0,0.0
1568.0,298.1,308.2,1521.0,39.3,151.0,0.0
1569.0,298.2,308.2,1407.0,47.1,153.0,0.0
1570.0,298.1,308.2,1654.0,35.3,155.0,0.0
1571.0,298.2,308.4,1452.0,43.5,158.0,0.0
1572.0,298.3,308.4,1528.0,37.3,160.0,0.0
1573.0,298.2,308.3,1230.0,59.6,162.0,0.0
1574.0,298.2,308.2,1466.0,42.4,164.0,0.0
1575.0,298.2,308.2,1478.0,50.1,166.0,0.0
1576.0,298.2,308.3,2057.0,18.0,168.0,0.0
1577.0,298.3,308.4,1490.0,41.7,170.0,0.0
1578.0,298.3,308.4,1484.0,43.4,172.0,0.0
1579.0,298.3,308.4,1593.0,37.0,174.0,0.0
1580.0,298.3,308.3,1444.0,43.8,176.0,0.0
1581.0,298.3,308.4,1444.0,47.5,178.0,0.0
1582.0,298.2,308.3,1560.0,33.0,181.0,0.0
1583.0,298.1,308.3,1530.0,42.0,184.0,0.0
1584.0,298.2,308.4,1310.0,61.0,189.0,1.0
1585.0,298.2,308.3,1639.0,33.3,191.0,0.0
1586.0,298.2,308.3,1400.0,48.7,194.0,0.0
1587.0,298.3,308.4,1486.0,44.2,196.0,0.0
1588.0,298.2,308.3,1448.0,43.3,199.0,0.0
1589.0,298.2,308.3,1688.0,32.0,202.0,0.0
1590.0,298.1,308.3,1453.0,41.5,204.0,0.0
1591.0,298.2,308.4,1497.0,37.7,207.0,0.0
1592.0,298.2,308.4,1355.0,49.4,209.0,0.0
1593.0,298.1,308.4,1592.0,38.2,211.0,0.0
1594.0,298.0,308.3,1544.0,34.7,213.0,0.0
1595.0,298.0,308.2,1373.0,51.2,215.0,0.0
1596.0,298.0,308.2,1365.0,52.9,218.0,1.0
1597.0,298.0,308.1,1877.0,24.3,0.0,0.0
1598.0,297.9,308.1,1531.0,40.8,2.0,0.0
1599.0,297.9,308.0,1501.0,36.7,4.0,0.0
1600.0,297.9,308.0,1490.0,46.2,6.0,0.0
1601.0,297.8,307.8,1543.0,43.7,8.0,0.0
1602.0,297.8,307.8,1597.0,38.2,11.0,0.0
1603.0,297.8,307.9,1600.0,33.5,13.0,0.0
1604.0,297.8,307.8,1622.0,32.1,18.0,0.0
1605.0,297.8,307.8,1452.0,39.8,21.0,0.0
1606.0,297.8,307.8,1396.0,42.5,23.0,0.0
1607.0,297.8,307.7,1505.0,39.7,25.0,0.0
1608.0,297.8,307.8,1412.0,48.3,27.0,0.0
1609.0,297.8,307.7,1393.0,38.0,29.0,0.0
1610.0,297.7,307.7,1581.0,34.9,31.0,0.0
1611.0,297.8,307.8,1573.0,37.9,33.0,0.0
1612.0,297.8,307.9,1726.0,27.3,35.0,0.0
1613.0,297.9,307.9,1540.0,39.8,38.0,0.0
1614.0,297.9,308.0,1296.0,62.9,41.0,0.0
1615.0,297.8,307.9,1802.0,25.8,43.0,0.0
1616.0,297.8,307.9,1447.0,48.6,46.0,0.0
1617.0,297.8,307.8,1662.0,30.7,48.0,0.0
1618.0,297.8,307.8,1563.0,34.3,53.0,0.0
1619.0,297.9,307.8,1286.0,59.5,55.0,0.0
1620.0,297.9,307.7,1590.0,34.6,57.0,0.0
1621.0,297.9,307.7,1492.0,43.7,59.0,0.0
1622.0,297.7,307.6,1844.0,21.9,61.0,0.0
1623.0,297.7,307.6,1538.0,38.3,63.0,0.0
1624.0,297.7,307.6,1921.0,22.9,68.0,0.0
1625.0,297.8,307.8,1310.0,57.9,70.0,0.0
1626.0,297.9,307.8,1365.0,46.9,73.0,0.0
1627.0,297.9,307.8,1303.0,59.3,75.0,0.0
1628.0,297.9,307.8,1499.0,37.5,78.0,0.0
1629.0,297.9,307.8,1451.0,38.2,80.0,0.0
1630.0,297.9,307.9,1336.0,54.4,82.0,0.0
1631.0,297.9,307.9,1412.0,44.5,85.0,0.0
1632.0,298.0,308.0,1433.0,39.2,87.0,0.0
1633.0,297.9,307.9,1426.0,43.6,89.0,0.0
1634.0,297.9,307.9,1476.0,45.2,91.0,0.0
1635.0,297.9,307.9,1406.0,58.5,93.0,0.0
1636.0,297.8,307.8,1383.0,56.5,98.0,0.0
1637.0,297.9,307.8,1505.0,37.3,100.0,0.0
1638.0,297.9,307.8,1665.0,33.9,102.0,0.0
1639.0,297.9,307.8,1397.0,45.0,104.0,0.0
1640.0,297.9,307.8,1450.0,43.5,106.0,0.0
1641.0,298.0,307.8,1567.0,36.4,109.0,0.0
1642.0,298.0,308.0,1555.0,37.0,111.0,0.0
1643.0,298.0,307.8,1588.0,35.4,114.0,0.0
1644.0,298.0,307.8,1453.0,37.7,119.0,0.0
1645.0,298.0,307.8,1622.0,33.3,121.0,0.0
1646.0,297.9,307.8,1538.0,38.5,123.0,0.0
1647.0,297.9,307.7,1527.0,42.8,125.0,0.0
1648.0,297.8,307.8,1761.0,28.9,128.0,0.0
1649.0,297.9,307.8,1373.0,50.2,130.0,0.0
1650.0,298.0,307.9,1482.0,37.8,132.0,0.0
1651.0,298.0,307.9,1417.0,51.0,137.0,0.0
1652.0,298.0,307.8,1414.0,51.7,140.0,0.0
1653.0,297.9,307.8,1635.0,34.0,142.0,0.0
1654.0,298.0,307.8,1386.0,57.3,147.0,0.0
1655.0,298.2,308.1,1379.0,62.3,149.0,0.0
1656.0,298.2,308.0,1577.0,35.9,151.0,0.0
1657.0,298.2,308.1,1532.0,42.5,154.0,0.0
1658.0,298.1,308.0,1374.0,48.8,156.0,0.0
1659.0,298.1,308.0,1570.0,35.3,159.0,0.0
1660.0,298.1,308.0,1697.0,31.0,164.0,0.0
1661.0,298.2,308.0,1499.0,44.1,166.0,0.0
1662.0,298.2,308.0,1411.0,47.2,168.0,0.0
1663.0,298.2,307.9,1462.0,45.5,171.0,0.0
1664.0,298.1,307.9,1759.0,28.6,176.0,0.0
1665.0,298.2,308.0,1535.0,38.0,179.0,0.0
1666.0,298.2,307.9,1491.0,39.7,181.0,0.0
1667.0,298.2,307.9,1551.0,36.0,186.0,0.0
1668.0,298.2,307.9,1769.0,27.2,188.0,0.0
1669.0,298.2,307.9,1551.0,34.1,190.0,0.0
1670.0,298.2,307.9,1544.0,31.4,192.0,0.0
1671.0,298.2,307.8,1528.0,31.1,194.0,0.0
1672.0,298.1,307.9,1614.0,35.8,196.0,0.0
1673.0,298.1,307.8,1432.0,49.8,198.0,0.0
1674.0,298.1,307.8,1384.0,43.7,200.0,0.0
1675.0,298.1,307.8,1540.0,37.8,203.0,0.0
1676.0,298.0,307.7,1407.0,43.9,205.0,0.0
1677.0,297.9,307.6,1418.0,43.0,207.0,0.0
1678.0,297.9,307.5,1647.0,30.8,212.0,0.0
1679.0,298.0,307.5,1644.0,32.8,215.0,0.0
1680.0,298.0,307.5,1792.0,27.9,217.0,0.0
1681.0,297.9,307.4,1610.0,34.6,219.0,0.0
1682.0,297.8,307.3,1804.0,26.0,222.0,0.0
1683.0,297.9,307.4,1604.0,36.1,225.0,1.0
1684.0,297.9,307.4,1403.0,52.8,0.0,0.0
1685.0,297.8,307.3,1438.0,44.5,3.0,0.0
1686.0,297.9,307.3,1824.0,26.3,5.0,0.0
1687.0,297.9,307.3,1663.0,28.7,7.0,0.0
1688.0,297.9,307.3,1502.0,36.7,12.0,0.0
1689.0,297.9,307.4,1606.0,35.5,14.0,0.0
1690.0,297.9,307.5,1561.0,37.7,16.0,0.0
1691.0,297.9,307.4,1435.0,42.9,18.0,0.0
1692.0,297.9,307.5,1602.0,38.3,21.0,0.0
1693.0,298.1,307.6,1764.0,27.7,23.0,0.0
1694.0,298.0,307.5,1683.0,27.8,26.0,0.0
1695.0,298.0,307.5,1618.0,35.2,31.0,0.0
1696.0,298.0,307.6,1509.0,41.6,33.0,0.0
1697.0,297.9,307.6,1550.0,39.0,35.0,0.0
1698.0,297.9,307.6,1519.0,44.0,37.0,0.0
1699.0,297.9,307.6,1481.0,38.0,40.0,0.0
1700.0,298.1,307.7,1289.0,48.3,42.0,0.0
1701.0,298.0,307.6,1844.0,23.8,44.0,0.0
1702.0,298.0,307.7,1479.0,42.5,47.0,0.0
1703.0,298.0,307.7,1430.0,47.3,49.0,0.0
1704.0,298.1,307.8,1636.0,36.7,51.0,0.0
1705.0,298.1,307.8,1503.0,44.7,54.0,0.0
1706.0,298.1,307.8,1608.0,32.6,57.0,0.0
1707.0,298.2,307.8,1521.0,42.9,60.0,0.0
1708.0,298.2,307.8,1439.0,41.6,62.0,0.0
1709.0,298.2,307.8,1627.0,31.5,64.0,0.0
1710.0,298.2,307.8,1749.0,26.1,66.0,0.0
1711.0,298.2,307.8,1530.0,35.9,68.0,0.0
1712.0,298.2,307.8,1355.0,51.3,70.0,0.0
1713.0,298.3,307.9,1551.0,33.8,72.0,0.0
1714.0,298.2,307.8,1515.0,46.7,74.0,0.0
1715.0,298.2,307.8,1388.0,48.6,76.0,0.0
1716.0,298.2,307.8,1585.0,34.6,78.0,0.0
1717.0,298.1,307.7,1523.0,37.7,80.0,0.0
1718.0,298.2,307.6,1369.0,54.5,82.0,0.0
1719.0,298.2,307.7,1681.0,31.0,84.0,0.0
1720.0,298.2,307.7,1503.0,38.3,87.0,0.0
1721.0,298.2,307.7,1459.0,44.5,89.0,0.0
1722.0,298.2,307.7,1688.0,32.4,91.0,0.0
1723.0,298.2,307.7,1952.0,21.6,93.0,0.0
1724.0,298.2,307.8,2029.0,19.9,96.0,0.0
1725.0,298.3,307.8,1457.0,52.5,98.0,0.0
1726.0,298.3,307.8,1392.0,50.4,101.0,0.0
1727.0,298.3,307.8,1906.0,22.1,104.0,0.0
1728.0,298.3,307.7,1602.0,33.4,106.0,0.0
1729.0,298.3,307.7,1465.0,49.4,109.0,0.0
1730.0,298.3,307.7,1439.0,43.8,111.0,0.0
1731.0,298.3,307.8,1330.0,55.4,114.0,0.0
1732.0,298.3,307.9,1485.0,42.0,117.0,0.0
1733.0,298.4,307.9,1700.0,28.2,120.0,0.0
1734.0,298.4,308.0,1515.0,42.8,125.0,0.0
1735.0,298.5,308.1,1501.0,39.2,127.0,0.0
1736.0,298.4,308.0,1380.0,47.6,130.0,0.0
1737.0,298.4,307.9,1544.0,35.9,132.0,0.0
1738.0,298.4,307.9,1743.0,27.3,134.0,0.0
1739.0,298.4,307.9,1948.0,21.4,136.0,0.0
1740.0,298.5,307.9,1260.0,54.2,141.0,0.0
1741.0,298.5,307.9,1640.0,33.1,146.0,0.0
1742.0,298.5,308.0,1363.0,49.2,149.0,0.0
1743.0,298.5,308.0,1379.0,49.6,152.0,0.0
1744.0,298.5,308.0,1713.0,25.8,154.0,0.0
1745.0,298.5,308.0,1461.0,51.9,157.0,0.0
1746.0,298.5,308.0,1624.0,29.8,160.0,0.0
1747.0,298.4,308.0,1526.0,41.1,162.0,0.0
1748.0,298.4,307.9,2381.0,14.2,164.0,0.0
1749.0,298.4,307.7,1626.0,31.1,166.0,0.0
1750.0,298.3,307.7,1576.0,33.8,171.0,0.0
1751.0,298.4,307.8,1617.0,31.6,173.0,0.0
1752.0,298.3,307.6,1942.0,20.6,176.0,0.0
1753.0,298.2,307.6,1492.0,37.2,178.0,0.0
1754.0,298.2,307.5,1470.0,51.3,180.0,0.0
1755.0,298.0,307.4,1463.0,46.5,182.0,0.0
1756.0,298.0,307.3,1424.0,46.5,185.0,0.0
1757.0,298.1,307.4,1363.0,60.1,187.0,0.0
1758.0,298.1,307.4,1335.0,56.2,190.0,0.0
1759.0,298.1,307.4,1608.0,33.9,193.0,0.0
1760.0,298.0,307.4,1606.0,35.2,195.0,0.0
1761.0,298.1,307.5,1684.0,33.1,200.0,0.0
1762.0,298.1,307.6,1950.0,20.3,202.0,0.0
1763.0,298.2,307.6,1460.0,48.6,204.0,0.0
1764.0,298.2,307.6,1511.0,31.0,209.0,1.0
1765.0,298.2,307.6,1318.0,55.7,0.0,0.0
1766.0,298.2,307.6,1368.0,51.8,5.0,0.0
1767.0,298.3,307.7,1717.0,27.1,7.0,0.0
1768.0,298.3,307.7,1520.0,41.4,10.0,0.0
1769.0,298.3,307.8,1485.0,42.0,13.0,0.0
1770.0,298.4,307.9,1981.0,23.2,16.0,0.0
1771.0,298.4,307.9,1605.0,31.0,18.0,0.0
1772.0,298.4,307.9,1446.0,45.3,23.0,0.0
1773.0,298.4,308.0,1508.0,47.9,25.0,0.0
1774.0,298.5,308.0,1384.0,59.5,27.0,0.0
1775.0,298.5,308.0,1519.0,37.3,29.0,0.0
1776.0,298.5,308.0,1404.0,48.1,32.0,0.0
1777.0,298.5,308.1,1564.0,31.1,34.0,0.0
1778.0,298.6,308.2,1555.0,36.8,36.0,0.0
1779.0,298.6,308.2,1325.0,54.0,41.0,0.0
1780.0,298.6,308.2,1488.0,44.0,43.0,0.0
1781.0,298.5,308.2,1595.0,32.3,46.0,0.0
1782.0,298.5,308.1,1662.0,28.6,48.0,0.0
1783.0,298.4,308.0,1571.0,37.4,50.0,0.0
1784.0,298.3,308.0,1553.0,41.0,52.0,0.0
1785.0,298.3,308.0,2886.0,3.8,57.0,1.0
1786.0,298.2,308.0,1538.0,38.2,59.0,0.0
1787.0,298.4,308.2,1618.0,33.0,61.0,0.0
1788.0,298.4,308.2,1364.0,45.9,63.0,0.0
1789.0,298.3,308.0,1442.0,47.3,65.0,0.0
1790.0,298.2,307.9,1313.0,67.3,67.0,1.0
1791.0,298.2,307.9,1847.0,23.6,69.0,0.0
1792.0,298.1,307.8,1524.0,40.8,71.0,0.0
1793.0,298.1,307.7,1445.0,48.0,73.0,0.0
1794.0,298.1,307.8,1761.0,28.2,76.0,0.0
1795.0,298.1,307.8,1514.0,43.5,78.0,0.0
1796.0,298.1,307.7,1498.0,38.3,81.0,0.0
1797.0,298.1,307.6,1542.0,37.1,84.0,0.0
1798.0,298.0,307.6,1508.0,41.8,89.0,0.0
1799.0,298.0,307.5,1431.0,52.9,92.0,0.0
1800.0,298.0,307.5,1427.0,45.1,95.0,0.0
1801.0,298.0,307.5,1524.0,36.3,98.0,0.0
1802.0,298.0,307.5,1427.0,43.6,101.0,0.0
1803.0,298.1,307.6,1496.0,44.1,104.0,0.0
1804.0,298.1,307.7,1388.0,40.3,109.0,0.0
1805.0,298.1,307.7,1495.0,48.1,111.0,0.0
1806.0,298.1,307.7,1376.0,56.2,113.0,0.0
1807.0,298.0,307.6,1593.0,32.2,118.0,0.0
1808.0,298.0,307.6,1654.0,28.9,123.0,0.0
1809.0,298.1,307.7,2567.0,12.8,125.0,1.0
1810.0,298.1,307.7,1767.0,27.0,127.0,0.0
1811.0,298.1,307.6,1364.0,53.8,129.0,0.0
1812.0,298.1,307.8,1569.0,31.2,131.0,0.0
1813.0,298.2,307.8,1476.0,36.8,134.0,0.0
1814.0,298.1,307.7,1479.0,45.0,136.0,0.0
1815.0,298.1,307.7,1650.0,34.1,138.0,0.0
1816.0,298.1,307.6,1565.0,36.3,140.0,0.0
1817.0,298.1,307.6,1460.0,46.5,143.0,0.0
1818.0,298.1,307.7,1664.0,27.6,145.0,0.0
1819.0,298.1,307.7,1435.0,40.9,147.0,0.0
1820.0,298.1,307.6,2066.0,19.2,150.0,0.0
1821.0,298.1,307.5,1493.0,43.7,153.0,0.0
1822.0,298.1,307.6,1354.0,43.3,155.0,0.0
1823.0,298.1,307.6,1488.0,39.4,157.0,0.0
1824.0,298.1,307.7,1414.0,48.7,159.0,0.0
1825.0,298.1,307.5,1391.0,57.4,161.0,0.0
1826.0,298.0,307.5,1784.0,27.8,163.0,0.0
1827.0,297.8,307.3,1516.0,40.1,166.0,0.0
1828.0,297.9,307.3,1420.0,47.8,171.0,0.0
1829.0,297.8,307.2,1351.0,56.3,174.0,0.0
1830.0,297.8,307.2,1880.0,23.0,176.0,0.0
1831.0,297.8,307.3,1859.0,24.0,178.0,0.0
1832.0,297.8,307.3,1315.0,54.0,180.0,0.0
1833.0,297.8,307.4,1330.0,51.7,183.0,0.0
1834.0,297.8,307.3,1327.0,61.0,186.0,1.0
1835.0,297.8,307.2,1498.0,38.1,188.0,0.0
1836.0,297.8,307.3,1555.0,35.8,190.0,0.0
1837.0,297.7,307.2,1518.0,35.8,195.0,0.0
1838.0,297.7,307.2,1392.0,43.0,197.0,0.0
1839.0,297.8,307.2,1456.0,39.6,199.0,0.0
1840.0,297.7,307.1,1715.0,30.2,0.0,0.0
1841.0,297.7,307.2,1405.0,43.7,2.0,0.0
1842.0,297.7,307.2,1668.0,37.8,5.0,0.0
1843.0,297.7,307.1,1855.0,22.5,7.0,0.0
1844.0,297.6,307.1,1496.0,39.2,12.0,0.0
1845.0,297.6,307.1,1471.0,44.9,14.0,0.0
1846.0,297.7,307.2,1444.0,40.0,17.0,0.0
1847.0,297.7,307.3,1514.0,38.6,19.0,0.0
1848.0,297.8,307.3,1412.0,50.7,24.0,0.0
1849.0,297.7,307.2,1429.0,44.1,26.0,0.0
1850.0,297.7,307.2,1668.0,32.7,31.0,0.0
1851.0,297.7,307.2,1372.0,52.8,33.0,0.0
1852.0,297.7,307.3,1365.0,49.2,36.0,0.0
1853.0,297.6,307.1,1526.0,39.1,39.0,0.0
1854.0,297.6,307.2,1486.0,40.6,42.0,0.0
1855.0,297.6,307.2,1470.0,42.6,44.0,0.0
1856.0,297.7,307.3,1249.0,62.8,47.0,0.0
1857.0,297.8,307.4,1752.0,26.1,52.0,0.0
1858.0,297.7,307.4,1643.0,36.5,55.0,0.0
1859.0,297.8,307.4,1488.0,36.1,57.0,0.0
1860.0,297.8,307.4,1355.0,45.8,60.0,0.0
1861.0,297.8,307.6,1607.0,30.3,62.0,0.0
1862.0,297.9,307.6,1609.0,30.3,64.0,0.0
1863.0,297.9,307.7,1517.0,44.4,67.0,0.0
1864.0,297.9,307.7,1517.0,39.5,69.0,0.0
1865.0,297.9,307.7,1546.0,37.6,72.0,0.0
1866.0,297.9,307.7,1567.0,34.7,74.0,0.0
1867.0,298.1,307.9,1662.0,28.9,76.0,0.0
1868.0,298.1,307.9,1502.0,41.8,79.0,0.0
1869.0,298.3,308.0,1361.0,56.9,81.0,0.0
1870.0,298.3,308.1,1630.0,32.7,83.0,0.0
1871.0,298.3,308.0,1486.0,42.3,86.0,0.0
1872.0,298.3,308.1,1840.0,21.5,88.0,0.0
1873.0,298.3,308.1,1326.0,58.4,90.0,0.0
1874.0,298.4,308.1,1367.0,57.8,92.0,0.0
1875.0,298.4,308.1,1598.0,32.7,94.0,0.0
1876.0,298.3,308.0,1363.0,50.1,96.0,0.0
1877.0,298.3,308.0,1242.0,62.0,98.0,0.0
1878.0,298.2,307.8,1566.0,33.8,100.0,0.0
1879.0,298.1,307.7,1424.0,47.7,103.0,0.0
1880.0,298.2,307.7,1608.0,33.8,106.0,0.0
1881.0,298.1,307.7,1705.0,29.1,109.0,0.0
1882.0,298.0,307.6,1548.0,45.8,111.0,0.0
1883.0,298.0,307.6,1581.0,43.4,113.0,0.0
1884.0,298.0,307.6,1472.0,46.7,116.0,0.0
1885.0,298.0,307.6,1792.0,26.0,119.0,0.0
1886.0,298.0,307.6,1683.0,32.8,122.0,0.0
1887.0,297.9,307.6,1503.0,40.7,124.0,0.0
1888.0,297.9,307.5,1642.0,32.4,126.0,0.0
1889.0,297.8,307.4,1902.0,24.3,129.0,0.0
1890.0,297.7,307.4,1432.0,40.2,132.0,0.0
1891.0,297.8,307.4,1512.0,40.8,137.0,0.0
1892.0,297.7,307.4,1764.0,29.0,139.0,0.0
1893.0,297.8,307.4,1438.0,43.6,141.0,0.0
1894.0,297.8,307.5,1631.0,29.9,144.0,0.0
1895.0,297.9,307.5,1880.0,23.3,146.0,0.0
1896.0,297.9,307.6,1344.0,54.3,151.0,0.0
1897.0,297.9,307.5,1574.0,35.8,153.0,0.0
1898.0,297.8,307.4,1418.0,41.2,155.0,0.0
1899.0,297.8,307.5,1372.0,54.1,157.0,0.0
1900.0,297.8,307.5,1388.0,40.0,159.0,0.0
1901.0,297.9,307.6,1493.0,36.0,161.0,0.0
1902.0,297.9,307.6,1505.0,40.1,166.0,0.0
1903.0,298.0,307.6,1694.0,29.1,169.0,0.0
1904.0,297.9,307.6,1968.0,20.4,171.0,0.0
1905.0,298.0,307.6,1569.0,35.6,173.0,0.0
1906.0,297.9,307.6,1687.0,29.1,176.0,0.0
1907.0,297.9,307.6,1430.0,52.4,178.0,0.0
1908.0,297.9,307.6,1504.0,42.4,180.0,0.0
1909.0,297.9,307.6,1977.0,20.2,182.0,0.0
1910.0,298.0,307.7,1435.0,45.6,184.0,0.0
1911.0,298.0,307.7,1547.0,36.8,186.0,0.0
1912.0,298.1,307.8,1316.0,57.2,191.0,0.0
1913.0,298.0,307.7,1621.0,34.9,194.0,0.0
1914.0,298.0,307.8,1492.0,40.2,197.0,0.0
1915.0,298.0,307.7,1643.0,32.3,200.0,0.0
1916.0,298.0,307.7,1492.0,38.7,202.0,0.0
1917.0,298.0,307.7,1387.0,50.8,204.0,0.0
1918.0,298.1,307.9,1463.0,47.3,206.0,0.0
1919.0,298.1,307.9,1496.0,40.0,0.0,0.0
1920.0,298.2,308.0,1658.0,30.0,3.0,0.0
1921.0,298.1,307.9,2161.0,17.5,5.0,0.0
1922.0,298.1,307.9,1665.0,32.0,7.0,0.0
1923.0,298.0,307.8,1716.0,26.6,9.0,0.0
1924.0,298.0,307.7,1529.0,34.1,11.0,0.0
1925.0,297.9,307.7,1353.0,50.7,13.0,0.0
1926.0,297.9,307.7,1537.0,37.7,15.0,0.0
1927.0,298.0,307.7,1606.0,30.8,17.0,0.0
1928.0,298.0,307.8,1314.0,47.8,19.0,0.0
1929.0,298.0,307.8,1623.0,29.9,24.0,0.0
1930.0,298.0,307.8,1483.0,50.9,26.0,0.0
1931.0,298.1,307.9,1569.0,37.0,29.0,0.0
1932.0,298.2,308.0,1969.0,21.7,32.0,0.0
1933.0,298.1,308.0,1686.0,29.3,35.0,0.0
1934.0,298.1,308.0,1638.0,35.1,38.0,0.0
1935.0,298.1,307.9,1698.0,33.3,40.0,0.0
1936.0,298.1,307.9,1377.0,55.1,42.0,0.0
1937.0,298.1,308.0,2129.0,18.4,45.0,0.0
1938.0,298.2,308.0,1411.0,42.4,48.0,0.0
1939.0,298.1,307.9,1517.0,40.8,50.0,0.0
1940.0,298.1,307.9,1303.0,53.9,52.0,0.0
1941.0,298.1,307.9,1578.0,35.6,55.0,0.0
1942.0,298.1,307.9,1425.0,58.2,57.0,0.0
1943.0,298.1,308.0,1456.0,42.4,59.0,0.0
1944.0,298.1,308.0,1704.0,30.9,61.0,0.0
1945.0,298.1,308.1,1791.0,27.3,63.0,0.0
1946.0,298.1,308.1,1616.0,32.8,65.0,0.0
1947.0,298.2,308.1,1622.0,34.9,67.0,0.0
1948.0,298.2,308.1,1462.0,49.9,69.0,0.0
1949.0,298.1,308.1,1410.0,45.8,71.0,0.0
1950.0,298.1,308.0,1543.0,41.9,73.0,0.0
1951.0,298.0,307.9,1479.0,47.6,76.0,0.0
1952.0,298.0,307.8,1839.0,22.7,79.0,0.0
1953.0,298.0,307.8,1266.0,60.5,81.0,0.0
1954.0,297.9,307.7,1593.0,34.9,83.0,0.0
1955.0,297.9,307.8,1459.0,46.9,85.0,0.0
1956.0,297.9,307.7,1308.0,55.2,87.0,0.0
1957.0,297.9,307.7,1364.0,46.8,89.0,0.0
1958.0,297.9,307.7,1618.0,35.9,92.0,0.0
1959.0,297.9,307.7,1464.0,43.2,97.0,0.0
1960.0,297.8,307.6,1352.0,49.4,102.0,0.0
1961.0,297.8,307.6,1446.0,51.4,105.0,0.0
1962.0,297.8,307.5,1448.0,51.2,107.0,0.0
1963.0,297.8,307.5,1391.0,48.6,109.0,0.0
1964.0,297.7,307.5,1379.0,43.3,111.0,0.0
1965.0,297.8,307.5,1405.0,46.9,113.0,0.0
1966.0,297.8,307.5,1581.0,33.1,116.0,0.0
1967.0,297.9,307.6,1515.0,40.5,118.0,0.0
1968.0,297.9,307.6,1589.0,37.8,120.0,0.0
1969.0,298.0,307.6,1281.0,50.8,122.0,0.0
1970.0,297.8,307.5,1631.0,31.3,124.0,0.0
1971.0,297.9,307.6,1202.0,67.0,129.0,0.0
1972.0,297.9,307.6,1298.0,52.7,132.0,0.0
1973.0,297.9,307.6,1612.0,30.7,134.0,0.0
1974.0,297.9,307.6,1747.0,25.3,136.0,0.0
1975.0,298.0,307.6,1450.0,48.7,138.0,0.0
1976.0,298.0,307.7,1422.0,45.6,140.0,0.0
1977.0,298.1,307.7,1419.0,47.4,142.0,0.0
1978.0,298.1,307.7,1633.0,30.7,145.0,0.0
1979.0,298.0,307.7,1442.0,43.6,148.0,0.0
1980.0,298.0,307.6,1420.0,45.8,150.0,0.0
1981.0,298.0,307.6,1301.0,58.5,155.0,0.0
1982.0,298.0,307.6,1385.0,45.0,158.0,0.0
1983.0,298.0,307.7,1487.0,41.3,160.0,0.0
1984.0,298.0,307.6,1459.0,44.4,163.0,0.0
